file,method,cyclomatic,halstead_volume,halstead_difficulty,halstead_effort,operators_distinct,operands_distinct,operators_total,operands_total
Tests\DomainTests.cs,Product_Builder.WithPrice,1,31.69925001442312,3.125,99.06015629507226,5,4,5,5
Tests\DomainTests.cs,Product_Builder.WithAmountInStock,1,31.69925001442312,3.125,99.06015629507226,5,4,5,5
Tests\DomainTests.cs,Product_Builder.WithType,1,31.69925001442312,3.125,99.06015629507226,5,4,5,5
Tests\DomainTests.cs,Product_Builder.WithCountry,1,31.69925001442312,3.125,99.06015629507226,5,4,5,5
Tests\DomainTests.cs,Product_Builder.Build,1,36.541209043760986,1.7142857142857142,62.6420726464474,3,7,3,8
Tests\DomainTests.cs,ReceiptData_Mother.CreateReceipt_WithSingleItem,1,92,3.9000000000000004,358.8,6,10,10,13
Tests\DomainTests.cs,ReceiptData_Mother.CreateReceipt_WithMultipleItems,1,199.68581616031315,4.578947368421053,914.3508424182761,6,19,14,29
Tests\DomainTests.cs,ReceiptData_Mother.CreateReceipt_WithZeroPriceItem,1,89.85848369899593,4.333333333333333,389.386762695649,6,9,10,13
Tests\DomainTests.cs,ReceiptData_Mother.GetBuilder,1,18.094737505048094,3,54.28421251514428,4,2,4,3
Tests\DomainTests.cs,ReceiptData_Mother.CreateStandardReceipt,1,187.29612798276648,4.6875,877.9505999192179,6,16,17,25
Tests\ForecastServiceAdapterTests.cs,ForecastServiceAdapterTests.ForecastServiceAdapterTests,1,114.4489595550095,4.090909090909091,468.2002890886752,6,11,13,15
Tests\ForecastServiceAdapterTests.cs,ForecastServiceAdapterTests.Create_ShouldReturnCorrectForecast_WhenPythonScriptReturnsValidJson,1,794.1744752985586,8,6353.395802388469,8,46,46,92
Tests\ForecastServiceAdapterTests.cs,ForecastServiceAdapterTests.Create_ShouldThrowException_WhenProcessReturnsError,1,210.99629561116632,3.9565217391304346,834.811430461571,7,23,17,26
Tests\ForecastServiceAdapterTests.cs,ForecastServiceAdapterTests.GetTestJson,1,11.60964047443681,1.5,17.414460711655217,3,2,3,2
Tests\ProductBatchReaderTests.cs,ProductBatchReaderTests.Create_WithValidData_ReturnsProductBatch,1,603.9649118939908,5.285714285714286,3192.385962868237,7,49,30,74
Tests\ProductBatchReaderTests.cs,ProductBatchReaderTests.Create_WithEmptyFile_ThrowsException,1,173.06477719407374,5.447368421052632,942.747602083507,9,19,13,23
Tests\ProductBatchReaderTests.cs,ProductBatchReaderTests.Create_WithInvalidData_ThrowsException,1,368.9860033197427,6.666666666666666,2459.9066887982844,10,33,24,44
Tests\ReceiptOfSaleTests.cs,ReceiptRepoTests.LoadReceiptItemsSale_UpdateAmount_SuccessfulTransaction,8,3243.8250106953415,22.56,73180.6922412869,16,100,191,282
Tests\ReceiptOfSaleTests.cs,ReceiptRepoTests.LoadReceiptItemsSale_UpdateAmount_NotEnoughStock_ReturnsFalse,1,1885.7336397197344,13.410958904109588,25289.496346378353,11,73,117,178
Tests\UserValidationTests.cs,UserRepoTests.CheckPasswordAndGetUserType_ValidAdminCredentials_ReturnsAdministrator,1,1075.910386229985,10.18867924528302,10962.105821965886,10,53,72,108
Tests\UserValidationTests.cs,UserRepoTests.CheckPasswordAndGetUserType_InvalidCredentials_ReturnsNull,1,944.9281822946881,9.09375,8592.94065774232,9,48,65,97
UserValidation\UserRepo.cs,UserRepo.UserRepo,1,18.094737505048094,1.25,22.61842188131012,2,4,2,5
UserValidation\UserRepo.cs,UserRepo.CheckPasswordAndGetUserType,2,653.4406125843752,13.588235294117647,8879.104794528863,14,34,51,66
WebApp\Controllers\AccountController.cs,AccountController.AccountController,1,76.14709844115208,2.8,213.21187563522582,4,10,6,14
WebApp\Controllers\AccountController.cs,AccountController.Login,1,15.509775004326936,1,15.509775004326936,2,4,2,4
WebApp\Controllers\AccountController.cs,AccountController.Login,6,714.3046554130852,15.6,11143.15262444413,16,40,45,78
WebApp\Controllers\AccountController.cs,AccountController.SignInUser,1,262.5724044505044,7.619047619047619,2000.5516529562237,10,21,21,32
WebApp\Controllers\AccountController.cs,AccountController.Logout,1,58.60335893412778,3.5,205.11175626944726,7,8,7,8
WebApp\Controllers\AdminController.cs,AdminController.AdminController,1,165.0586500259616,4,660.2346001038464,6,18,12,24
WebApp\Controllers\AdminController.cs,AdminController.Index,1,11.60964047443681,1,11.60964047443681,2,3,2,3
WebApp\Controllers\AdminController.cs,AdminController.Order,1,266.2737001211542,6.125,1630.9264132420694,7,20,21,35
WebApp\Controllers\AdminController.cs,AdminController.GetCartFromSession,6,794.1744752985586,16.42105263157895,13041.180857534226,16,38,60,78
WebApp\Controllers\AdminController.cs,AdminController.SaveCartToSession,2,556.28031642502,12.142857142857142,6754.832413732386,10,28,38,68
WebApp\Controllers\AdminController.cs,AdminController.AddToCart,3,450.034368387919,11.839285714285714,5328.085468592683,13,28,33,51
WebApp\Controllers\AdminController.cs,AdminController.RemoveFromCart,3,302.14829520647913,9.120000000000001,2755.59245228309,12,25,20,38
WebApp\Controllers\AdminController.cs,AdminController.UpdateCartItem,4,417.38083532105526,11.064516129032258,4618.116984358772,14,31,27,49
WebApp\Controllers\AdminController.cs,AdminController.SubmitOrder,5,1074.6435323122967,18.166666666666668,19522.690837006725,19,57,63,109
